Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Caris LeVert,SG,28,CLE,74,30,2237,320,742,127,324,193,418,130,180,53,229,282,287,72,24,116,170
Jakob Poeltl,C,27,TOT,72,71,1906,389,618,0,1,389,617,119,201,236,417,653,197,66,86,125,195
Tre Jones,PG,23,SAS,68,65,1984,341,743,45,158,296,585,148,172,56,189,245,448,89,9,110,98
Wendell Carter Jr.,C,23,ORL,57,54,1690,322,613,80,225,242,388,144,195,120,377,497,132,30,33,106,159
Mason Plumlee,C,32,TOT,79,60,2054,329,484,0,0,329,484,199,313,229,471,700,245,46,47,117,217
Eric Gordon,SG,34,TOT,69,58,1965,291,653,132,356,159,297,142,173,16,118,134,183,43,25,104,78
Kelly Olynyk,C,31,UTA,68,68,1942,278,557,93,236,185,321,198,232,82,338,420,252,60,37,168,232
LaMelo Ball,PG,21,CHO,36,36,1268,296,721,144,383,152,338,102,122,42,189,231,304,46,11,129,118
Markelle Fultz,PG,24,ORL,60,60,1778,349,679,27,87,322,592,112,143,69,165,234,341,87,26,139,131
Austin Reaves,SG,24,LAL,64,22,1843,259,490,86,216,173,274,229,265,33,160,193,215,33,19,99,108
Patrick Williams,PF,21,CHI,82,65,2323,314,677,115,277,199,400,90,105,78,249,327,100,72,70,101,147
Dennis Schröder,PG,29,LAL,66,50,1986,270,650,74,225,196,425,216,252,21,144,165,298,50,10,112,145
Tyus Jones,PG,26,MEM,80,22,1940,311,710,121,326,190,384,80,100,28,172,200,417,83,6,74,32
Kentavious Caldwell-Pope,SG,29,DEN,76,76,2381,292,632,135,319,157,313,103,125,35,173,208,183,112,35,86,145
Corey Kispert,SF,23,WAS,74,45,2093,291,585,163,384,128,201,75,88,33,174,207,87,32,9,55,97
Chris Paul,PG,37,PHO,59,59,1889,294,668,98,261,196,407,133,160,27,224,251,524,91,22,114,126
Ivica Zubac,C,25,LAC,76,76,2170,326,514,0,2,326,512,166,238,236,520,756,77,29,98,117,219
Quentin Grimes,SG,22,NYK,71,66,2121,282,602,157,407,125,195,78,98,49,180,229,150,47,26,69,177
Mike Conley,PG,35,TOT,67,66,2029,261,610,135,351,126,259,141,169,33,149,182,450,73,14,103,139
Onyeka Okongwu,C,22,ATL,80,18,1849,317,497,4,13,313,484,153,196,217,359,576,81,56,107,81,251
Shaedon Sharpe,SG,19,POR,80,15,1779,306,648,102,283,204,365,75,105,63,173,236,94,38,24,83,136
Killian Hayes,PG,21,DET,76,56,2154,307,815,80,286,227,529,92,112,28,193,221,470,104,28,173,219
Cole Anthony,PG,22,ORL,60,4,1552,277,610,75,206,202,404,152,170,47,241,288,235,37,31,91,158
Naz Reid,C,23,MIN,68,11,1251,310,577,75,217,235,360,86,127,73,260,333,77,42,53,92,176
De'Anthony Melton,SG,24,PHI,77,58,2150,277,651,157,403,120,248,69,87,69,243,312,197,126,41,102,191
Clint Capela,C,28,ATL,65,63,1730,350,536,0,1,350,535,79,131,258,459,717,58,45,79,54,139
Tari Eason,PF,21,HOU,82,5,1767,296,660,59,172,237,488,109,145,195,301,496,88,96,47,101,189
Bogdan Bogdanović,SG,30,ATL,54,9,1508,273,611,146,360,127,251,64,77,23,142,165,150,43,18,65,86
Jalen McDaniels,SF,25,TOT,80,24,1913,281,617,77,232,204,385,116,138,63,283,346,130,83,34,93,209
Zion Williamson,PF,22,NOP,29,29,956,285,469,7,19,278,450,177,248,58,144,202,133,32,16,99,65
Grayson Allen,SG,27,MIL,72,70,1972,245,557,146,366,99,191,114,126,61,176,237,163,62,14,72,117
Josh Hart,SF,27,TOT,76,52,2454,275,520,61,164,214,356,132,176,142,451,593,290,88,21,117,195
Aaron Nesmith,SF,23,IND,73,60,1816,252,590,115,314,137,276,119,142,62,215,277,98,55,34,75,235
Gordon Hayward,SF,32,CHO,50,50,1577,276,581,52,160,224,421,129,159,33,182,215,206,42,12,99,70
Zach Collins,C,25,SAS,63,26,1441,284,548,55,147,229,401,108,142,116,286,402,180,37,49,129,199
Marcus Morris,PF,33,LAC,65,65,1825,274,643,112,308,162,335,68,87,29,229,258,114,42,21,56,136
Coby White,SG,22,CHI,74,2,1730,263,594,128,344,135,250,61,70,16,196,212,204,54,6,74,122
Terance Mann,SG,26,LAC,81,36,1872,272,524,77,198,195,326,92,118,77,199,276,184,42,22,80,149
Chris Boucher,PF,30,TOR,76,0,1523,261,529,62,189,199,340,128,168,157,264,421,29,47,64,41,143
Andrew Nembhard,SG,23,IND,75,63,2073,284,644,92,263,192,381,49,62,35,164,199,341,70,13,126,179
Rui Hachimura,PF,24,TOT,63,9,1466,284,584,51,160,233,424,88,119,53,230,283,58,19,26,53,72
Daniel Gafford,C,24,WAS,78,47,1604,289,395,0,0,289,395,127,187,163,270,433,84,33,99,85,187
Jaylen Nowell,SG,23,MIN,65,2,1252,280,625,67,232,213,393,77,99,36,134,170,132,42,5,65,101
Marcus Smart,PG,28,BOS,61,61,1957,250,602,115,342,135,260,88,118,46,145,191,382,93,23,143,172
Devin Vassell,SG,22,SAS,38,32,1178,261,595,103,266,158,329,78,100,8,140,148,136,43,17,57,57
Talen Horton-Tucker,SG,22,UTA,65,20,1313,257,613,58,203,199,410,126,168,41,169,210,246,41,29,126,108
Naji Marshall,SF,25,NOP,77,21,1792,247,571,66,218,181,353,138,175,48,231,279,189,54,14,97,113
Deni Avdija,SF,22,WAS,76,40,2020,253,579,69,232,184,347,122,165,74,413,487,211,65,29,123,209
Santi Aldama,PF,22,MEM,77,20,1682,247,525,94,266,153,259,108,144,85,286,371,97,45,48,60,143
Jusuf Nurkić,C,28,POR,52,52,1391,262,505,43,119,219,386,127,192,114,357,471,149,43,44,119,185
Reggie Jackson,PG,32,TOT,68,40,1657,263,640,96,288,167,352,71,78,25,119,144,233,47,6,115,114
Isaiah Joe,SG,23,OKC,73,10,1395,224,508,161,394,63,114,82,100,27,148,175,88,48,8,39,105
Ayo Dosunmu,SG,23,CHI,80,51,2098,281,570,59,189,222,381,66,82,45,175,220,206,62,26,99,182
Collin Sexton,PG,24,UTA,48,15,1145,237,468,48,122,189,346,163,199,37,68,105,138,27,6,85,112
Caleb Martin,SF,27,MIA,71,49,2077,254,548,84,236,170,312,91,113,88,256,344,117,71,31,78,145
Walker Kessler,C,21,UTA,74,40,1703,298,414,1,3,297,411,82,159,231,389,620,69,26,173,58,169
Donte DiVincenzo,SG,26,GSW,72,36,1894,235,540,150,378,85,162,58,71,80,245,325,252,97,10,112,133
Malaki Branham,SG,19,SAS,66,32,1550,269,611,77,255,192,356,58,70,28,153,181,127,33,7,76,115
Royce O'Neale,SF,29,BRK,76,53,2409,229,593,163,419,66,174,50,69,55,329,384,283,65,49,114,239
Cedi Osman,SF,27,CLE,77,2,1548,239,530,116,312,123,218,75,108,25,151,176,115,35,11,52,122
Jonathan Kuminga,PF,20,GSW,67,16,1394,261,497,54,146,207,351,90,138,70,161,231,125,41,31,95,157
Bones Hyland,PG,22,TOT,56,1,1085,228,571,117,315,111,256,86,102,20,115,135,172,39,15,82,96
Doug McDermott,SF,31,SAS,64,0,1314,239,523,123,298,116,225,53,70,24,115,139,91,13,6,58,118
Josh Richardson,SG,29,TOT,65,10,1530,239,554,107,293,132,261,69,81,41,134,175,174,69,20,86,117
Lonnie Walker IV,SG,24,LAL,56,32,1297,236,527,91,249,145,278,91,106,14,95,109,64,30,17,46,71
Alec Burks,SG,31,DET,51,8,1122,200,459,99,239,101,220,153,188,19,139,158,114,38,8,58,98
Jevon Carter,PG,27,MIL,81,39,1810,239,565,142,337,97,228,31,38,35,167,202,197,66,29,78,158
Cameron Johnson,PF,26,TOT,42,41,1199,223,474,103,255,120,219,101,120,34,151,185,78,50,14,37,83
T.J. McConnell,PG,30,IND,75,6,1526,283,521,26,59,257,462,58,68,45,189,234,397,81,10,143,105
Herbert Jones,PF,24,NOP,66,66,1951,235,501,56,167,179,334,123,161,97,172,269,162,103,42,88,208
Kyle Anderson,PF,29,MIN,69,46,1957,252,495,43,105,209,390,100,136,66,302,368,335,78,63,103,146
Keita Bates-Diop,PF,27,SAS,67,42,1452,236,465,56,142,180,323,119,150,65,183,248,103,46,20,56,63
Jalen Smith,C,22,IND,68,31,1279,242,508,54,191,188,317,104,137,129,265,394,66,21,60,72,153
Gabe Vincent,PG,26,MIA,68,34,1759,228,567,117,350,111,217,68,78,27,118,145,167,62,5,92,154
Grant Williams,PF,24,BOS,79,23,2045,216,476,115,291,101,185,94,122,87,276,363,131,41,31,82,192
AJ Griffin,SF,19,ATL,72,12,1401,248,533,101,259,147,274,42,47,37,116,153,73,42,12,42,87
Shake Milton,SG,26,PHI,76,11,1567,241,503,56,148,185,355,99,116,39,152,191,240,25,13,94,123
Georges Niang,PF,29,PHI,78,1,1512,222,502,154,384,68,118,39,45,19,166,185,77,30,14,54,145
Monte Morris,PG,27,WAS,62,61,1695,247,515,78,204,169,311,64,77,26,184,210,326,43,13,60,75
Bol Bol,PF,23,ORL,70,33,1505,261,478,30,113,231,365,82,108,69,336,405,69,30,85,112,92
Andrew Wiggins,SF,27,GSW,37,37,1190,250,529,89,225,161,304,44,72,61,125,186,85,45,28,48,107
