PLAYER,TEAM,GP,FGM,FGA,3PM,3PA,FTM,FTA
Trendon Watford,POR,48,142,267,9,38,71,94
Kenrich Williams,OKC,49,146,317,41,121,30,55
Theo Maledon,OKC,51,119,317,44,150,79,100
Blake Griffin,BKN,56,133,313,38,145,55,76
Lou Williams,ATL,56,125,320,37,102,67,78
Goga Bitadze,IND,50,131,252,23,80,64,94
John Konchar,MEM,72,135,262,52,126,27,49
Draymond Green,GSW,46,135,257,16,54,60,91
Mike Muscala,OKC,43,113,248,70,163,48,57
Tristan Thompson,CHI,57,141,267,1,3,61,116
Brandon Boston Jr.,LAC,51,125,325,34,111,59,72
Delon Wright,ATL,77,122,269,44,116,54,63
Jalen McDaniels,CHA,55,123,254,41,108,53,72
James Johnson,BKN,62,144,307,23,85,29,55
Ty Jerome,OKC,48,124,328,54,186,38,47
CJ Elleby,POR,58,121,308,37,126,60,84
Keita Bates-Diop,SAS,59,136,263,17,55,46,61
Eric Paschall,UTA,58,114,235,40,108,66,86
George Hill,MIL,54,118,275,41,134,57,62
Trey Murphy III,NOP,62,109,277,71,186,45,51
Facundo Campazzo,DEN,65,107,296,58,193,60,78
Jose Alvarado,NOP,54,131,294,32,110,36,53
Josh Jackson,SAC,51,120,300,33,130,55,77
Joe Ingles,POR,45,115,285,78,225,17,22
Thaddeus Young,TOR,52,141,272,17,48,23,49
Larry Nance Jr.,NOP,46,129,247,23,70,40,57
Stanley Johnson,LAL,48,117,251,33,105,53,74
Josh Green,DAL,67,130,256,28,78,31,45
Terry Taylor,IND,33,135,220,12,38,36,51
Naji Marshall,NOP,55,109,269,21,105,74,93
Davis Bertans,DAL,56,99,275,77,230,36,40
Derrick Rose,NYK,26,122,274,37,92,30,31
Terence Davis,SAC,30,113,267,49,149,36,44
Brandon Williams,POR,24,105,282,31,106,68,97
Garrett Temple,NOP,59,111,295,59,185,28,41
Alex Caruso,CHI,41,102,256,42,126,58,73
Omer Yurtseven,MIA,56,130,247,1,11,38,61
Juan Toscano-Anderson,GSW,73,115,235,28,87,40,70
Isaiah Jackson,IND,36,116,206,5,16,60,88
D.J. Augustin,LAL,55,94,222,68,164,38,43
Armoni Brooks,TOR,54,98,289,74,249,18,21
Joshua Primo,SAS,50,101,270,42,137,44,59
Wayne Ellington,LAL,43,98,237,82,211,9,11
Derrick Jones Jr.,CHI,51,105,195,20,61,56,70
DeAndre' Bembry,MIL,56,124,221,15,36,21,35
Kessler Edwards,BKN,48,110,267,48,136,16,19
Troy Brown Jr.,CHI,66,108,258,47,133,20,26
Jevon Carter,MIL,66,98,253,66,170,15,18
Quentin Grimes,NYK,46,95,235,72,189,13,19
Justise Winslow,POR,48,110,257,15,66,39,66
Rodney McGruder,DET,51,98,225,58,146,19,26
Zeke Nnaji,DEN,41,96,186,37,80,41,65
Dean Wade,CLE,51,99,217,51,142,20,30
Keon Johnson,POR,37,96,272,34,100,41,51
Jock Landale,SAS,54,101,204,29,89,34,41
Svi Mykhailiuk,TOR,56,91,234,41,134,32,37
Robin Lopez,ORL,36,110,199,2,6,32,54
Xavier Tillman,MEM,53,98,216,10,49,46,71
