PLAYER,GP,PTS,FGM,FGA,3PM,3PA,FTM,FTA
Mike Muscala,43,344,113,248,70,163,48,57
Tristan Thompson,57,344,141,267,1,3,61,116
Brandon Boston Jr.,51,343,125,325,34,111,59,72
Delon Wright,77,342,122,269,44,116,54,63
Jalen McDaniels,55,340,123,254,41,108,53,72
James Johnson,62,340,144,307,23,85,29,55
Ty Jerome,48,340,124,328,54,186,38,47
CJ Elleby,58,339,121,308,37,126,60,84
Keita Bates-Diop,59,335,136,263,17,55,46,61
Eric Paschall,58,334,114,235,40,108,66,86
George Hill,54,334,118,275,41,134,57,62
Trey Murphy III,62,334,109,277,71,186,45,51
Facundo Campazzo,65,332,107,296,58,193,60,78
Jose Alvarado,54,330,131,294,32,110,36,53
Josh Jackson,51,328,120,300,33,130,55,77
Joe Ingles,45,325,115,285,78,225,17,22
Thaddeus Young,52,322,141,272,17,48,23,49
Larry Nance Jr.,46,321,129,247,23,70,40,57
Stanley Johnson,48,320,117,251,33,105,53,74
Josh Green,67,319,130,256,28,78,31,45
Terry Taylor,33,318,135,220,12,38,36,51
Naji Marshall,55,313,109,269,21,105,74,93
Davis Bertans,56,311,99,275,77,230,36,40
Derrick Rose,26,311,122,274,37,92,30,31
Terence Davis,30,311,113,267,49,149,36,44
Brandon Williams,24,309,105,282,31,106,68,97
Garrett Temple,59,309,111,295,59,185,28,41
Alex Caruso,41,304,102,256,42,126,58,73
Omer Yurtseven,56,299,130,247,1,11,38,61
Juan Toscano-Anderson,73,298,115,235,28,87,40,70
Isaiah Jackson,36,297,116,206,5,16,60,88
D.J. Augustin,55,294,94,222,68,164,38,43
Armoni Brooks,54,288,98,289,74,249,18,21
Joshua Primo,50,288,101,270,42,137,44,59
Wayne Ellington,43,287,98,237,82,211,9,11
Derrick Jones Jr.,51,286,105,195,20,61,56,70
DeAndre' Bembry,56,284,124,221,15,36,21,35
Kessler Edwards,48,284,110,267,48,136,16,19
Troy Brown Jr.,66,283,108,258,47,133,20,26
Jevon Carter,66,277,98,253,66,170,15,18
Quentin Grimes,46,275,95,235,72,189,13,19
Justise Winslow,48,274,110,257,15,66,39,66
Rodney McGruder,51,273,98,225,58,146,19,26
Zeke Nnaji,41,270,96,186,37,80,41,65
Dean Wade,51,269,99,217,51,142,20,30
Keon Johnson,37,267,96,272,34,100,41,51
Jock Landale,54,265,101,204,29,89,34,41
Svi Mykhailiuk,56,255,91,234,41,134,32,37
Robin Lopez,36,254,110,199,2,6,32,54
Xavier Tillman,53,252,98,216,10,49,46,71
Wesley Matthews,49,249,87,220,53,157,22,28
Danuel House Jr.,42,248,80,198,44,117,44,58
Khem Birch,55,247,97,200,0,14,53,71
Frank Ntilikina,58,240,89,223,38,111,24,25
Alex Len,39,235,94,176,6,21,41,63
David Nwaba,46,233,85,176,15,49,48,67
Jordan McLaughlin,62,233,88,200,27,85,30,40
T.J. McConnell,27,229,100,208,10,33,19,23
Taj Gibson,52,229,86,166,15,38,42,52
Moses Moody,52,228,80,183,40,110,28,36
Timothe Luwawu-Cabarrot,52,227,74,186,44,122,35,41
Greg Brown III,48,225,81,190,19,61,44,65
Romeo Langford,48,218,83,191,29,85,23,42
Zach Collins,28,218,76,155,14,41,52,65
Maurice Harkless,47,217,83,181,31,101,20,28
Trey Burke,42,214,84,215,26,82,20,23
