Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
Salvon Ahmed,MIA,25,RB,8,0,23,16,69.6%,88,5.5,1,4,30.4,20,3.8,2.0,11.0,0
Treylon Burks,TEN,23,WR,11,9,30,16,53.3%,221,13.8,0,8,43.3,70,7.4,1.5,20.1,0
Jamison Crowder,WAS,30,WR,17,0,20,16,80.0%,159,9.9,1,8,60.0,26,8.0,0.9,9.4,2
Alex Erickson,LAC,31,WR,8,3,29,16,55.2%,232,14.5,1,12,48.3,27,8.0,2.0,29.0,0
Bo Melton,GNB,24,WR,5,1,24,16,66.7%,218,13.6,1,13,62.5,37,9.1,3.2,43.6,0
John Metchie,HOU,23,WR,16,0,30,16,53.3%,158,9.9,0,7,43.3,22,5.3,1.0,9.9,0
David Montgomery,DET,26,RB,14,14,24,16,66.7%,117,7.3,0,7,54.2,19,4.9,1.1,8.4,2
Jeremy Ruckert,NYJ,23,TE,15,6,22,16,72.7%,151,9.4,0,6,50.0,23,6.9,1.1,10.1,0
Parker Washington,JAX,21,WR,9,1,21,16,76.2%,132,8.3,2,5,52.4,19,6.3,1.8,14.7,2
Jordan Akins,CLE,31,TE,17,4,23,15,65.2%,132,8.8,0,6,52.2,28,5.7,0.9,7.8,0
Dalvin Cook,NYJ,28,RB,15,1,20,15,75.0%,78,5.2,0,3,30.0,15,3.9,1.0,5.2,2
Derius Davis,LAC,23,WR,17,2,17,15,88.2%,66,4.4,0,0,23.5,18,3.9,0.9,3.9,3
Mecole Hardman,2TM,25,,11,2,24,15,62.5%,124,8.3,0,8,50.0,37,5.2,1.4,11.3,1
Deonte Harty,BUF,26,WR,16,1,21,15,71.4%,150,10.0,1,9,52.4,43,7.1,0.9,9.4,2
Malik Heath,GNB,23,WR,13,1,24,15,62.5%,125,8.3,1,6,41.7,16,5.2,1.2,9.6,0
Kareem Hunt,CLE,28,RB,15,2,21,15,71.4%,84,5.6,0,5,38.1,13,4.0,1.0,5.6,0
Andrei Iosivas,CIN,24,WR,16,1,25,15,60.0%,116,7.7,4,11,60.0,16,4.6,0.9,7.3,0
Kyle Philips,TEN,24,WR,9,0,22,15,68.2%,181,12.1,0,9,50.0,29,8.2,1.7,20.1,1
Quez Watkins,PHI,25,WR,9,5,21,15,71.4%,142,9.5,1,8,61.9,19,6.8,1.7,15.8,0
Zamir White,LVR,24,RB,17,4,19,15,78.9%,98,6.5,0,4,52.6,15,5.2,0.9,5.8,1
Jamal Agnew,JAX,28,WR,11,1,21,14,66.7%,225,16.1,1,8,57.1,65,10.7,1.3,20.5,1
David Bell,CLE,23,WR,15,3,23,14,60.9%,167,11.9,3,9,47.8,41,7.3,0.9,11.1,0
Chase Brown,CIN,23,RB,12,0,15,14,93.3%,156,11.1,1,4,53.3,54,10.4,1.2,13.0,1
Chase Edmonds,TAM,27,RB,13,0,17,14,82.4%,81,5.8,0,5,58.8,14,4.8,1.1,6.2,0
Elijah Higgins,ARI,23,TE,11,2,19,14,73.7%,163,11.6,1,9,52.6,26,8.6,1.3,14.8,0
KhaDarel Hodge,ATL,28,WR,17,4,23,14,60.9%,232,16.6,0,13,60.9,52,10.1,0.8,13.6,1
Kyle Juszczyk*+,SFO,32,FB,17,16,17,14,82.4%,119,8.5,2,8,82.4,22,7.0,0.8,7.0,0
Byron Pringle,WAS,30,WR,17,1,22,14,63.6%,161,11.5,0,7,40.9,26,7.3,0.8,9.5,1
Jeff Wilson,MIA,28,RB,10,0,17,14,82.4%,85,6.1,0,3,29.4,12,5.0,1.4,8.5,0
