Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
David Moore,TAM,28,WR,7,0,7,5,71.4%,94,18.8,1,3,71.4,52,13.4,0.7,13.4,0
Craig Reynolds,DET,27,RB,17,0,5,5,100.0%,47,9.4,0,2,60.0,28,9.4,0.3,2.8,2
Patrick Ricard,BAL,29,FB,17,9,7,5,71.4%,52,10.4,1,3,42.9,28,7.4,0.3,3.1,0
Ronnie Rivers,LAR,24,RB,9,1,5,5,100.0%,22,4.4,0,0,40.0,10,4.4,0.6,2.4,0
Equanimeous St. Brown,CHI,27,WR,7,2,6,5,83.3%,62,12.4,0,3,83.3,21,10.3,0.7,8.9,0
Jack Stoll,PHI,25,TE,17,10,8,5,62.5%,38,7.6,0,2,50.0,14,4.8,0.3,2.2,0
Brenton Strange,JAX,23,TE,14,4,9,5,55.6%,35,7.0,1,2,22.2,17,3.9,0.4,2.5,0
Pierre Strong,CLE,25,RB,17,1,8,5,62.5%,47,9.4,0,1,25.0,41,5.9,0.3,2.8,1
Ian Thomas,CAR,27,TE,12,5,9,5,55.6%,56,11.2,0,1,33.3,28,6.2,0.4,4.7,0
Nate Adkins,DEN,24,TE,10,1,5,4,80.0%,22,5.5,0,1,20.0,11,4.4,0.4,2.2,0
Lawrence Cager,NYG,26,TE,11,0,5,4,80.0%,36,9.0,1,2,60.0,10,7.2,0.4,3.3,0
Grant Calcaterra,PHI,25,TE,15,1,4,4,100.0%,39,9.8,0,3,100.0,12,9.8,0.3,2.6,0
DeAndre Carter,LVR,30,WR,17,1,7,4,57.1%,39,9.8,0,0,28.6,16,5.6,0.2,2.3,2
Robbie Chosen,MIA,30,WR,9,0,6,4,66.7%,126,31.5,1,3,66.7,68,21.0,0.4,14.0,0
Nick Chubb,CLE,28,RB,2,2,4,4,100.0%,21,5.3,0,1,50.0,10,5.3,2.0,10.5,0
Britain Covey,PHI,26,WR,16,0,6,4,66.7%,42,10.5,0,2,66.7,22,7.0,0.3,2.6,2
Devin Duvernay,BAL,26,WR,13,1,9,4,44.4%,18,4.5,0,0,11.1,10,2.0,0.3,1.4,0
Marquise Goodwin,CLE,33,WR,12,0,13,4,30.8%,67,16.8,0,1,7.7,57,5.2,0.3,5.6,0
Peyton Hendershot,DAL,24,TE,8,1,7,4,57.1%,38,9.5,0,1,42.9,24,5.4,0.5,4.8,0
Keaontay Ingram,ARI,24,RB,8,1,4,4,100.0%,26,6.5,0,1,50.0,9,6.5,0.5,3.3,0
Rakim Jarrett,TAM,22,WR,10,0,9,4,44.4%,60,15.0,0,1,33.3,41,6.7,0.4,6.0,0
Velus Jones Jr.,CHI,26,WR,14,0,7,4,57.1%,20,5.0,0,1,42.9,11,2.9,0.3,1.4,0
Marcedes Lewis,CHI,39,TE,17,4,5,4,80.0%,29,7.3,1,2,80.0,16,5.8,0.2,1.7,0
Zach Pascal,ARI,29,WR,14,1,15,4,26.7%,19,4.8,0,1,20.0,9,1.3,0.3,1.4,0
