Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
Drake London,ATL,22,WR,16,16,,1,1,100.0,22,0,0.0,0,0.0,1,100.0,22,22.0,22.0,22.0,1.4,118.7,100.0,0,0,0.0,22.00,22.00,,
Thomas Morstead,NYJ,37,P,17,0,,1,1,100.0,18,0,0.0,0,0.0,1,100.0,18,18.0,18.0,18.0,1.1,118.7,,0,0,0.0,18.00,18.00,,
Kenneth Gainwell,PHI,24,RB,16,2,,1,1,100.0,17,0,0.0,0,0.0,1,100.0,17,17.0,17.0,17.0,1.1,118.7,98.9,0,0,0.0,17.00,17.00,,
Dontayvion Wicks,GNB,22,WR,15,6,,1,1,100.0,14,0,0.0,0,0.0,1,100.0,14,14.0,14.0,14.0,0.9,118.7,94.2,0,0,0.0,14.00,14.00,,
Logan Cooke,JAX,28,P,17,0,,1,1,100.0,13,0,0.0,0,0.0,1,100.0,13,13.0,13.0,13.0,0.8,118.7,,0,0,0.0,13.00,13.00,,
Tommy Townsend,KAN,27,P,17,0,,1,1,100.0,11,0,0.0,0,0.0,1,100.0,11,11.0,11.0,11.0,0.6,112.5,,0,0,0.0,11.00,11.00,,
Johnny Hekker,CAR,33,P,17,0,,1,1,100.0,7,0,0.0,0,0.0,0,0.0,7,7.0,7.0,7.0,0.4,95.8,,0,0,0.0,7.00,7.00,,
Devin Singletary,HOU,26,RB,17,10,,1,1,100.0,6,1,100.0,0,0.0,1,100.0,6,6.0,26.0,6.0,0.4,131.2,100.0,0,0,0.0,6.00,26.00,,
Dyami Brown,WAS,24,WR,17,1,,1,1,100.0,4,0,0.0,0,0.0,0,0.0,4,4.0,4.0,4.0,0.2,83.3,2.1,0,0,0.0,4.00,4.00,,
Jerick McKinnon,KAN,31,RB,12,0,,1,1,100.0,4,1,100.0,0,0.0,1,100.0,4,4.0,24.0,4.0,0.3,122.9,89.6,0,0,0.0,4.00,24.00,,
Christian Kirk,JAX,27,WR,12,12,,1,2,50.0,-1,0,0.0,0,0.0,0,0.0,0,-0.5,-0.5,-1.0,-0.1,56.2,3.2,0,0,0.0,-0.50,-0.50,,
Ja'Marr Chase*,CIN,23,WR,16,16,,1,1,100.0,-7,0,0.0,0,0.0,0,0.0,-7,-7.0,-7.0,-7.0,-0.4,79.2,1.8,0,0,0.0,-7.00,-7.00,,
Tyler Boyd,CIN,29,WR,17,13,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.0,0.00,-45.00,,
Chris Godwin,TAM,27,WR,17,17,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.8,0,0,0.0,0.00,0.00,,
Connor Heyward,PIT,24,TE,17,7,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,7.0,0,0,0.0,0.00,0.00,,
DeAndre Hopkins,TEN,31,WR,17,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,16.9,0,0,0.0,0.00,0.00,,
Justin Jefferson,MIN,24,WR,10,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,14.0,0,0,0.0,0.00,0.00,,
Aaron Rodgers,NYJ,40,QB,1,1,1-0-0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2.6,1,10,50.0,-5.00,-5.00,,
Deebo Samuel,SFO,27,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,4.7,0,0,0.0,0.00,0.00,,
Jonnu Smith,ATL,28,TE,17,6,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.7,0,0,0.0,0.00,0.00,,
Kadarius Toney,KAN,24,WR,13,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.3,0,0,0.0,0.00,0.00,,
Kyle Trask,TAM,25,QB,2,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.1,0,0,0.0,0.00,0.00,,
Garrett Wilson,NYJ,23,WR,17,17,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.2,0,0,0.0,0.00,0.00,,
