id,name,position,team,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,offense_snaps,teams_offense_snaps,ypa,ypc,ypr,touches,count,comp_percentage,pass_td_percentage,int_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pass_ypg,rush_ypg,rec_ypg,ppg,ppr_ppg,ypg,pr,rookie_season,round,overall,ht,wt,forty,vertical,years_played
716,Isaiah McKenzie,WR,BUF,2020,REG,1,1,12,1,0,0,0,0,0,-5,17,1,0,10,9,0,0,0,2,0,30,34,282,5,0,0,149,190,17,0,0.89645267,0.35208368,69.58,99.58,303,15,264,1047,12,0.9,9.4,41,1,1,1,0,0,0.167,6,0.146,0.8,0.6,18.8,4.638666789,6.638666789,0.8,150.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
716,Isaiah McKenzie,WR,BUF,2021,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,9,47,1,0,0,4,0,20,26,178,1,0,0,157,81,13,0,0.71152437,0.5386452,34.5,54.5,225,11,223,817,0,5.22,8.9,29,1,0,0,0,0.111,0.05,2,0.069,0,4.272727273,16.18181818,3.136363636,4.954545455,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
716,Isaiah McKenzie,WR,BUF,2022,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,1,0,0,3,0,42,65,423,4,0,0,564,128,27,0,1.811242,1.7621082,77.8,119.8,478,15,555,1029,0,6.11,10.07,51,1,0,0,0,0.111,0.095,5,0.098,0,3.666666667,28.2,5.18666687,7.98666687,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
716,Isaiah McKenzie,WR,DEN,2017,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,13,29,0,0,0,203,10,2,0,0.37742293,0.67559004,3.3,7.3,33,7,95,494,0,4,7.25,5,1,0,0,0,0,0,0,0,0,0.571428571,4.142857143,0.471428565,1.04285717,0,33.87,2017,5,172,7-May,173,4.42,36,1
717,Isaiah Pead,RB,LA,2012,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,10,54,0,0,0,2,0,3,4,16,0,1,0,32,17,0,0,0.107684374,0.120511554,7,10,70,8,0,0,0,5.4,5.33,13,1,0,0,0,0,0,0,0,0,6.75,2,0.875,1.25,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
717,Isaiah Pead,RB,LA,2013,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,2,0,11,15,78,0,0,0,12,71,2,1,0.32826653,0.035242602,11.9,22.9,99,5,0,0,0,3,7.09,18,1,0,0,0,0,0,0,0,0,4.2,15.6,2.379999924,4.579999924,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
717,Isaiah Pead,RB,LA,2015,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7,-1.7,3,1,0,0,0,1.5,0,2,1,0,0,0,0,0,0,0,0,3,0,-1.700000048,-1.700000048,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
717,Isaiah Pead,RB,MIA,2016,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,1,1,6,0,0,0,-2,8,0,0,0.04,-0.014084507,2.8,3.8,28,2,21,112,0,2.75,6,9,1,0,0,0,0,0,0,0,0,11,3,1.399999976,1.899999976,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
718,Isaiah Spiller,RB,LAC,2022,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,0,0,0,2,0,3,3,13,0,0,0,-10,23,0,0,0.09024211,-0.050243154,5.4,8.4,54,5,51,325,0,2.28,4.33,21,1,0,0,0,0,0,0,0,0,8.2,2.6,1.080000019,1.679999924,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
719,Isaiah Stanback,TE,JAX,2012,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,5,1,0,0,0.020408163,0.011961723,0.6,1.6,6,1,6,75,0,0,6,1,1,0,0,0,0,0,0,0,0,0,6,0.600000024,1.600000024,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
